POSITION,DEPARTMENT,MONTH_TOTAL,VACATION_13TH_SALARY,EVENTUAL PAYMENTS,PAYED_PREMIUM_LEAVE,OTHER_INDEMNITIES,WAGE_REDUCER,NET_TOTAL,STATUS,MONTH,YEAR
PSICOLOGO I,FUNDACAO CASA-SP.,0.0,7831.83,46.92,"0,00",0.0,0.0,0.0,ATIVOS,MAY,2023
ASSISTENTE DE DIRETORIA,FUND.MEMORIAL AMERICA LATINA,4850.39,0.0,0.0,"0,00",0.0,0.0,3795.3,ATIVOS,MARCH,2023
SUPERINTENDENTE DE AREA,AG.REG.SERV.PUB.EST.SP ARSESP,17619.74,0.0,0.0,"0,00",0.0,0.0,9987.7,ATIVOS,APRIL,2023
ESPECIALISTA EM PROTE  O E DEF,FUNDACAO PROCON,8646.69,0.0,0.0,"0,00",0.0,0.0,6473.16,ATIVOS,FEBRUARY,2023
ENCARREGADO I,DEPARTAM.ESTRADAS RODAGEM DER,3516.45,1.89,0.0,"0,00",129.72,0.0,1493.84,ATIVOS,JANUARY,2023
ANALISTA ADMINISTRATIVO,FUND. AMP. PESQ. EST.SP FAPESP,8963.09,2389.87,0.0,"0,00",0.0,0.0,5967.55,ATIVOS,JULY,2023
AUXILIAR ADM III,SECRETARIA DE COMUNICACAO,3151.76,238.83,1269.33,"0,00",-19.11,0.0,3390.79,ATIVOS,FEBRUARY,2023
TECNICO APOIO GESTAO E OPERACA,CIA.PROCES.DAD.EST.SP PRODESP,1621.62,7104.24,0.0,"0,00",0.0,0.0,558.62,ATIVOS,MARCH,2023
ANAL.PLAN.ORC.FINANC.PUBL. II,SECRETARIA ORCAMENTO E GESTAO,8353.18,5568.77,0.0,"8353,17",0.0,0.0,19175.39,ATIVOS,JANUARY,2023
ESTAGIARIO,FUND.PE.ANCHIETA-C.P.RADIO TV.,620.27,0.0,0.0,"0,00",0.0,0.0,620.27,ATIVOS,APRIL,2023
DIRETOR TECNICO III,SECRETARIA ORCAMENTO E GESTAO,12420.02,0.0,0.0,"0,00",0.0,0.0,8357.03,ATIVOS,FEBRUARY,2023
OFICIAL ADMINISTRATIVO,SEC.TRANSPORTES METROPOLITANOS,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,ATIVOS,APRIL,2023
ANALISTA DE REC AMBIENTAIS,FUND.CONS.PR.FLOR.EST.SP F.FL.,9187.05,0.0,0.0,"0,00",440.29,0.0,7149.68,ATIVOS,JANUARY,2023
AUDITOR FISCAL DA RECEITA EST,SECRET. FAZENDA PLANEJAMENTO,30556.17,0.0,1026.44,"0,00",10278.0,0.0,33322.59,ATIVOS,JANUARY,2023
OP TRAN METROV I  ESTACAO,COMP.METROPOLITANO S.P.-METRO,5587.39,0.0,0.0,"0,00",0.0,0.0,3980.54,ATIVOS,JULY,2023
OFICIAL ADMINISTRATIVO,SECRETARIA DA SAUDE,1875.84,908.65,-7.28,"0,00",59.82,0.0,2162.94,ATIVOS,JANUARY,2023
